1,C
2,C
3,A
4,D
5,C
6,A
7,B
8,C
9,B
10,A
11,A
12,D
13,B
14,B
15,B
16,A
17,A
18,A
19,B
20,C
21,A
22,A
23,A
24,C
25,C
26,A
27,B
28,B
29,B
30,B
31,C
32,C
33,C
34,A
35,C
36,A
37,D
38,C
39,A
40,B
41,A
42,B
43,B
44,B
45,C
46,A
47,D
48,B
49,C
50,B
51,C
52,D
53,C
54,D
55,C
56,D
57,B
58,B
59,C
60,B
61,A
62,C
63,D
64,C
65,B
66,A
67,D
68,B
69,C
70,C
71,A
72,D
73,A
74,C
75,B
76,C
77,B
78,C
79,C
80,C
81,C
82,B
83,A
84,C
85,C
86,B
87,D
88,A
89,D
90,B
91,C
92,B
93,B
94,D
95,C
96,B
97,A
98,B
99,A
100,B
101,B
102,C
103,B
104,C
105,C
106,A
107,A
108,B
109,A
110,C
111,A
112,D
113,A
114,A
115,C
116,A
117,C
118,D
119,C
120,A
121,D
122,B
123,C
124,A
125,B
126,A
127,C
128,A
129,C
130,B
131,B
132,B
133,C
134,A
135,C
136,A
137,A
138,C
139,B
140,C
141,A
142,B
143,C
144,A
145,A
146,B
147,C
148,D
149,D
150,B
