1,A
2,B
3,B
4,B
5,B
6,C
7,C
8,C
9,A
10,C
11,C
12,D
13,C
14,A
15,B
16,A
17,B
18,B
19,B
20,C
21,A
22,A
23,B
24,C
25,B
26,C
27,D
28,C
29,D
30,D
31,D
32,B
33,B
34,C
35,B
36,A
37,C
38,D
39,C
40,C
41,A
42,D
43,B
44,C
45,C
46,A
47,D
48,A
49,C
50,B
51,C
52,B
53,C
54,C
55,C
56,C
57,B
58,A
59,C
60,C
61,B
62,D
63,B
64,D
65,B
66,C
67,B
68,B
69,D
70,C
71,B
72,A
73,B
74,A
75,B
76,A
77,C
78,B
79,C
80,C
81,A
82,A
83,B
84,A
85,C
86,A
87,D
88,A
89,A
90,B
91,A
92,C
93,D
94,C
95,A
96,D
97,B
98,C
99,A
100,C
101,A
102,C
103,A
104,C
105,B
106,B
107,B
108,B
109,A
110,C
111,A
112,A
113,C
114,B
115,C
116,A
117,C
118,C
119,A
120,A
121,B
122,C
123,D
124,D
125,B
126,B
127,C
128,A
129,D
130,C
131,A
132,B
133,C
134,B
135,A
136,A
137,D
138,B
139,B
140,C
141,A
142,A
143,A
144,B
145,C
146,A
147,A
148,A
149,C
150,B
